tile,understory_veg_returns,ground_returns,fractional_cover
tile_282000_1550000.las,658082,122209,0.8434
tile_282000_1550500.las,830048,129323,0.8652
tile_282000_1551000.las,667406,79563,0.8935
tile_282000_1551500.las,438281,61758,0.8765
tile_282500_1550000.las,598732,94070,0.8642
tile_282500_1550500.las,573969,74516,0.8851
tile_282500_1551000.las,832718,122991,0.8713
tile_282500_1551500.las,617329,82129,0.8826
tile_283000_1550000.las,268802,52394,0.8369
tile_283000_1550500.las,448624,69307,0.8662
tile_283000_1551000.las,689155,93305,0.8808
tile_283000_1551500.las,875479,127955,0.8725
tile_283500_1550000.las,230105,73657,0.7575
tile_283500_1550500.las,862692,270883,0.761
tile_283500_1551000.las,726150,124133,0.854
tile_283500_1551500.las,763034,137637,0.8472
