tile,lad_0.5_3.5m
tile_282000_1550000.las,2.085
tile_282000_1550500.las,1.7309
tile_282000_1551000.las,2.054
tile_282000_1551500.las,2.5792
tile_282500_1550000.las,2.2342
tile_282500_1550500.las,2.2874
tile_282500_1551000.las,1.8755
tile_282500_1551500.las,2.0652
tile_283000_1550000.las,2.5989
tile_283000_1550500.las,2.444
tile_283000_1551000.las,2.0404
tile_283000_1551500.las,1.7105
tile_283500_1550000.las,1.5479
tile_283500_1550500.las,1.7756
tile_283500_1551000.las,1.8495
tile_283500_1551500.las,1.6888
